model,threshold,accuracy,precision,recall,f1_score,roc_auc
baseline,0.5,0.6810592976396085,0.13758389261744966,0.6721311475409836,0.22841225626740946,0.7431254123737502
baseline,F1,0.7990788716177317,0.18732782369146006,0.5573770491803278,0.2804123711340206,0.7431254123737502
baseline,Youden,0.7910189982728842,0.18037135278514588,0.5573770491803278,0.2725450901803607,0.7431254123737502
baseline+cnn,0.5,0.9297639608520437,0.0,0.0,0.0,0.7383291884484595
baseline+cnn,F1,0.8831318364997122,0.21678321678321677,0.2540983606557377,0.2339622641509434,0.7383291884484595
baseline+cnn,Youden,0.724237190558434,0.14792899408284024,0.6147540983606558,0.2384737678855326,0.7383291884484595
yolo,0.5,0.6770293609671848,0.1335559265442404,0.6557377049180327,0.22191400832177532,0.7419047860731869
yolo,F1,0.8054116292458261,0.18786127167630057,0.5327868852459017,0.2777777777777778,0.7419047860731869
yolo,Youden,0.7524467472654001,0.15625,0.5737704918032787,0.24561403508771928,0.7419047860731869
yolo+cnn,0.5,0.9297639608520437,0.0,0.0,0.0,0.737887631325179
yolo+cnn,F1,0.8554979850316637,0.1943127962085308,0.3360655737704918,0.24624624624624625,0.737887631325179
yolo+cnn,Youden,0.7409326424870466,0.148068669527897,0.5655737704918032,0.23469387755102042,0.737887631325179
