threshold,crash_year,matched_crashes_count,images_with_crashes_this_year,crashes_same_year_as_image
5m,2018,520,520,22
5m,2019,348,310,42
5m,2020,356,258,52
5m,2021,393,261,46
5m,2022,335,265,13
5m,2023,406,283,61
5m,2024,302,160,31
10m,2018,1426,1426,67
10m,2019,1171,900,156
10m,2020,1098,662,156
10m,2021,1082,581,145
10m,2022,1100,720,41
10m,2023,1267,674,200
10m,2024,898,375,92
25m,2018,4239,4239,197
25m,2019,3690,2102,464
25m,2020,3375,1311,493
25m,2021,3292,1103,470
25m,2022,3313,1056,153
25m,2023,3964,945,630
25m,2024,2545,487,277
