feature,coefficient,abs_coefficient,feature_type
access=permissive,-2.367923994000249,2.367923994000249,categorical
highway=track,-2.0695531149839144,2.0695531149839144,categorical
tunnel=yes,-1.9687886944789692,1.9687886944789692,categorical
access=private,-1.8012082365883542,1.8012082365883542,categorical
access=destination,-1.6859076529882513,1.6859076529882513,categorical
surface=fine_gravel,-1.4954430685821298,1.4954430685821298,categorical
surface=compacted,-1.4366514686421756,1.4366514686421756,categorical
surface=missing,-1.1795228394018766,1.1795228394018766,categorical
smoothness=excellent,1.1082869586424189,1.1082869586424189,categorical
highway=primary,1.0454369899594778,1.0454369899594778,categorical
surface=gravel,1.0200880960955696,1.0200880960955696,categorical
lit=yes,0.9947520568435603,0.9947520568435603,categorical
surface=concrete,-0.9944852592113086,0.9944852592113086,categorical
surface=grass_paver,-0.8816396489377526,0.8816396489377526,categorical
surface=concrete:lanes,-0.8740994906561331,0.8740994906561331,categorical
surface=paving_stones,-0.7785273722880283,0.7785273722880283,categorical
surface=sett,-0.7686213981247288,0.7686213981247288,categorical
surface=ground,-0.765961048672441,0.765961048672441,categorical
highway=secondary,0.7573353314663166,0.7573353314663166,categorical
lit=no,0.700206593570106,0.700206593570106,categorical
surface=unhewn_cobblestone,-0.6942801721374989,0.6942801721374989,categorical
smoothness=good,0.676466303050195,0.676466303050195,categorical
surface=unpaved,-0.6761421214542134,0.6761421214542134,categorical
oneway=yes,0.6253555545800052,0.6253555545800052,categorical
surface=cobblestone,0.5919221841931671,0.5919221841931671,categorical
smoothness=intermediate,0.5830675608743997,0.5830675608743997,categorical
surface=dirt,-0.5816197176635273,0.5816197176635273,categorical
access=missing,-0.5708605040471855,0.5708605040471855,categorical
highway=tertiary,0.5599054225002659,0.5599054225002659,categorical
sidewalk=left,-0.552449433694781,0.552449433694781,categorical
smoothness=missing,0.5378671598845375,0.5378671598845375,categorical
tunnel=missing,-0.4852316072079536,0.4852316072079536,categorical
smoothness=very_bad,0.437481621336744,0.437481621336744,categorical
surface=sand,-0.4344204051216996,0.4344204051216996,categorical
sidewalk=missing,0.4078047859338632,0.4078047859338632,categorical
cycleway=track,0.38729507802384194,0.38729507802384194,categorical
highway=motorway,0.3650863591489723,0.3650863591489723,categorical
road_segment_length_m,-0.31636204204426016,0.31636204204426016,numeric
access=delivery,-0.30608252480862236,0.30608252480862236,categorical
sidewalk=right,-0.2733349512164765,0.2733349512164765,categorical
surface=paved,-0.27120387631934867,0.27120387631934867,categorical
highway=path,-0.26805499340821537,0.26805499340821537,categorical
access=yes,-0.23305119082003742,0.23305119082003742,categorical
highway=motorway_link,0.2299691400537073,0.2299691400537073,categorical
highway=secondary_link,-0.22057366571567918,0.22057366571567918,categorical
highway=living_street,0.20643062374876714,0.20643062374876714,categorical
surface=bricks,-0.19458983242285766,0.19458983242285766,categorical
cycleway=separate,-0.15443195566072174,0.15443195566072174,categorical
surface=concrete:plates,0.14457993959084706,0.14457993959084706,categorical
highway=unclassified,-0.1408856259105983,0.1408856259105983,categorical
access=no,-0.12718310986262543,0.12718310986262543,categorical
street_quality_roi_winz,-0.10491485369165082,0.10491485369165082,numeric
sidewalk=separate,-0.10409014530425251,0.10409014530425251,categorical
width,-0.10128343150438913,0.10128343150438913,numeric
cycleway=missing,0.07807352210206064,0.07807352210206064,categorical
lanes,0.07304708932440401,0.07304708932440401,numeric
smoothness=horrible,-0.06744448507671547,0.06744448507671547,categorical
maxspeed,-0.05647747894893546,0.05647747894893546,numeric
cycleway=no,-0.053640116549678776,0.053640116549678776,categorical
sidewalk=no,-0.04879424624103608,0.04879424624103608,categorical
lit=missing,-0.04061522224165456,0.04061522224165456,categorical
highway=residential,0.02351031049143746,0.02351031049143746,categorical
oneway=no,-0.009021348018789135,0.009021348018789135,categorical
highway=service,-0.0064086935013210385,0.0064086935013210385,categorical
